id,Name,Address,Location,Postal_code,Starred
37,Crotona Park Mobile Food Truck,East 173rd Street & Fulton Avenue At Entrance to Pool,New York,NULL,FALSE
38,The Hudson,Dyckman Marina Restaurant,New York,NULL,FALSE
39,Carroll Park Mobile Truck,Carroll Park,New York,NULL,FALSE
40,Central Park Food Cart,East side of West Drive at West 96 Street,New York,NULL,FALSE
41,Verdi Square Snack Bar,72nd Street and Broadway,New York,NULL,FALSE
42,Battery Gardens Restaurant,1 Battery Park Plaza,New York,NULL,FALSE
43,Battery Park Food Cart,8 Various Locations,New York,NULL,FALSE
44,Bocce,Northern Plaza Pavilion,New York,NULL,FALSE
45,Frank O'connor Park Food Cart,"Broadway, between 78th Street and 79th Street",New York,NULL,FALSE
46,Arthur Kill Road Restaurant,Arthur Kill Road & Richmond Avenue,New York,NULL,FALSE
47,Flushing Meadows Corona Park Food Cart,North corner of Soccer Field #5,New York,NULL,FALSE
48,Flushing Meadows Corona Park Food Cart,Around the outer pathway of the Unisphere,New York,NULL,FALSE
49,Columbus Park Snack Bar,Brooklyn Borough Hall,New York,NULL,FALSE
50,Flushing Meadows Corona Park Food Cart,"Flushing Meadows Corona Park, the designated volleyball Area",New York,NULL,FALSE
51,"Golden Ring, Inc.",595 Bedford Avenue at the corner of Bedford Avenue and Williamsburg Street,New York,NULL,FALSE
52,Prospect Park Snack Bar,Parade Grounds,New York,NULL,FALSE
53,Flushing Meadows Corona Park Food Cart,"Flushing Meadows Corona Park, in the the designated volleyball area",New York,NULL,FALSE
54,Conservatory Water Snack Bar,"Adjacent to the beautiful Conservatory Waters, between 72nd & 75th streets",New York,NULL,FALSE
56,West Playground Mobile Food Truck,West Playground,New York,NULL,FALSE
57,Mineral Springs Cafe,Between 69th and 70th Streets and between Terrace Drive and Sheep Meadow,New York,NULL,FALSE
58,Delacorte Theatre Snack Bar,The Delacorte Theatre,New York,NULL,FALSE
59,Flushing Meadows Corona Park Food Cart,In the designated volleyball area,New York,NULL,FALSE
60,Underwood Park Mobile Trucks,Underwood Park,New York,NULL,FALSE
61,Van Cortlandt Park Food Cart,Near Paddleball courts at Broadway & West 241 Street,New York,NULL,FALSE
62,Ballfields Cafe,"Heckscher Ballfields, south of 65th Street & west of the carousel",New York,NULL,FALSE
63,Ocean Breeze Snack Bar,Ocean Breeze Athletic Complex,New York,NULL,FALSE
64,Arsenal Snack Bar,Basement of 830 5th Avenue,New York,NULL,FALSE
65,Williamsbridge Oval Playground Food Cart,Van Cortlandt Avenue East & Reservoir Oval East,New York,NULL,FALSE
66,Dag Hammarskjold Plaza Cafe,342 East 47th Street,New York,NULL,FALSE
67,Hunter's Point South Snack Bar,Hunter's Point South Park,New York,NULL,FALSE
68,Shake Shack,Southeast corner of Madison Square Park-near Madison Avenue and East 23rd Street,New York,NULL,FALSE
69,Pelham Bay Park Food Cart,"Outside playground #1, at Middleton Road",New York,NULL,FALSE
70,Ellington In The Park,105th Street and Riverside Park,New York,NULL,FALSE
71,Van Cortlandt Park Mobile Food Truck,Mosholu Parkway South & North Between Van Cortlandt,New York,NULL,FALSE
72,Pier I Cafe,West 70 Street near Pier I,New York,NULL,FALSE
73,Windmuller Park Food Cart,52nd Street and 39th Road,New York,NULL,FALSE
74,Rockaway Beach Snack Bars,"Beach 86th Street, Beach 97th Street, and Beach 106th Street",New York,NULL,FALSE
75,Pushcart,Near northern intersection of Avenues of Progress & Commerce,New York,NULL,FALSE
76,Astoria Pool Snack Bar,Astoria Pool,New York,NULL,FALSE
77,Tweety's Mobile Food Truck,E 172 St. Bw Morris and Teller Aves.,New York,NULL,FALSE
78,Ederle Terrace Snack Bar,"Ederle Terrace, 61-30 Van Wyck Expressway, overlooking Meadow Lake",New York,NULL,FALSE
79,PS 100 Playground Trucks,"Theriot, Taylor and Story Aves.",New York,NULL,FALSE
80,Central Park Food Cart,West Side of WD at W 62nd,New York,NULL,FALSE
81,Bayview Playground Mobile Trucks,Bayview Playground,New York,NULL,FALSE
82,Hugh Grant Circle Food Cart,"East 177th Street, Wstchester Avenue, Virginia Avenue",New York,NULL,FALSE
83,Fort Greene Park Mobile Food Truck,Fort Green Park,New York,NULL,FALSE
84,Olmsted Cafeteria,Olmsted Center,New York,NULL,FALSE
85,NY Dosas,North side of Washington Square at Sullivan Street,New York,NULL,FALSE
86,Plumb Beach Mobile Food Truck,Plumb Beach Parking Lot,New York,NULL,FALSE
87,Rodman's Neck Snack Bar,"The NYC Police Academy, Rodman",New York,NULL,FALSE
88,Bensonhurst Park Mobile Food Truck,"End of Bay Parkway, near shopping center",New York,NULL,FALSE
89,Orchard Beach Snack Bar,3 Locations along the beach,New York,NULL,FALSE
90,Asser Levy Park Mobile Food Truck,Asser Levy Park,New York,NULL,FALSE
91,Wafels & Dinges,West of the Scholar's Gate entrance at 60th Street,New York,NULL,FALSE
92,Dunkin' Donuts,1320 Hutchinson River Parkway,New York,NULL,FALSE
93,Shore Road Park Mobile Food Trucks,Bay 8th Street,New York,NULL,FALSE
94,Wendy's,19 West 170th Street,New York,NULL,FALSE
95,Jackie Robinson Park Mobile Food Truck,Jackie Robinson Park,New York,NULL,FALSE
96,"NANDITA, INC.",WEST SIDE OF EAST DRIVE AND 63RD ST.,New York,NULL,FALSE
97,PS 199 Playground Mobile Food Truck,PS 199 Playground,New York,NULL,FALSE
98,Harlem Meer Snack Bar,Harlem Meer,New York,NULL,FALSE
99,Fort Tryon Park Mobile Food Truck,Margaret Corbin Circle,New York,NULL,FALSE
100,CAF&Eacute; PRODUCTS CORP.,COLUMBUS CIR. BEHIND THE USS MAINE MONUMENT,New York,NULL,FALSE
101,First Park Outdoor Cafe,Between East Houston Street and East First Street,New York,NULL,FALSE
102,Prospect Park Mount Food Cart,Grand Army Plaza,New York,NULL,FALSE
103,Alexander Hamilton Plygrd Mobile Food Truck,Alexander Hamilton Plygrd,New York,NULL,FALSE
104,Peter Minuit Snack Bar,Pavilion,New York,NULL,FALSE
105,Williamsbridge Oval Park,South corner of track,New York,NULL,FALSE
106,Cross Island Mobile Food Truck,Cross Island Parkway and Clearview Parkway,New York,NULL,FALSE
107,ALEX LINDOWER PARK TRUCKS,East 60th and Strickland,New York,NULL,FALSE
108,Battery Park Snack Bar,Battery Park,New York,NULL,FALSE
109,Forest Park Mobile Food Truck,79 Street and Park Lane South,New York,NULL,FALSE
110,"THE NEW YORK PICNIC COMPANY, INC.",Hecksher Playground,New York,NULL,FALSE
111,Rufus Playground Mobile Food Trucks,Rufus King Playground,New York,NULL,FALSE
112,"NANDITA, INC.",MALL AREA. S.W. OF BANDSHELL,New York,NULL,FALSE
113,PS 173 Playground Mobile Food Truck,Fresh Meadows Playground,New York,NULL,FALSE
114,THE NY PICNIC COMPANY,"NORTH OF 72 ST. TRANVERSE, PATH LEADING TO CHERRY HILL",New York,NULL,FALSE
115,Maurice A Fitzgerald Playground Mobile Food Truck,Maurice A Fitzgerald Playground,New York,NULL,FALSE
116,"JANANI FOOD SERVICES, INC.",EAST 72ND ST. PATH LEADING TO CONSERVATORY WATERS,New York,NULL,FALSE
117,Gunn Park Mobile Food Truck,William T. Gunn Playground,New York,NULL,FALSE
118,"UNLIMITED NUTS, INC.","BOW BRIDGE, N.  PATH LEADING TO CHERRY HILL",New York,NULL,FALSE
119,Rafferty Square Mobile Food Truck,44th Drive and Hunter Street,New York,NULL,FALSE
120,Cafe Products Corp,Columbus Avenue and W. Street,New York,NULL,FALSE
121,Hart Playground Mobile Food Truck,General Hart Playground,New York,NULL,FALSE
122,Yellowstone Muni Playground Mobile Food Truck,Yellowstone Park,New York,NULL,FALSE
123,Central Park Specialty Cart,East Drive and 63 Street,New York,NULL,FALSE
124,Lt Corp Noonan Mobile Food Truck,Lt Corp. Noonan Playground,New York,NULL,FALSE
125,Elmhurst Park Mobile Food Truck,Elmhurst Park,New York,NULL,FALSE
126,PQR Pizza Food Cart,64th Street and 5th Avenue,New York,NULL,FALSE
127,Memorial Field Mobile Food Truck,Flushing Fields,New York,NULL,FALSE
128,Flushing Meadows Mobile Food Truck,Herbert Hoover Promenade and Avenue of Commerce,New York,NULL,FALSE
129,Bloomingdale Park Mobile Food Truck,Bloomingdale Park,New York,NULL,FALSE
130,Owl Hollow Park Mobile Food Truck,Owls Hollow Soccer Fields,New York,NULL,FALSE
131,Central Park Specialty Food Cart,72nd Street and 5th Avenue,New York,NULL,FALSE
132,"UNLIMITED NUTS, INC.","EAST DRIVE AND EAST 79TH , PATH TO GREAT LAWN",New York,NULL,FALSE
133,Midland Beach Mobile Food Truck,Parking Lot 2,New York,NULL,FALSE
134,Hanover Square Specialty Carts,Hanover Square,New York,NULL,FALSE
135,MUN TRADING COMPANY,NEAR THE ZOO ENTRANCE,New York,NULL,FALSE
136,Midland Beach Mobile Food Truck,Parking Lot 9,New York,NULL,FALSE
137,Midland Beach Mobile Food Truck,Fishing Pier at Parking Lot 6,New York,NULL,FALSE
138,SALIM AHAMED,NORTH OF UNDERPASS NEAR TISCH CHILDREN'S ZOO,New York,NULL,FALSE
139,Rice the Great Specialty Food Cart,Thomas Paine Park,New York,NULL,FALSE
140,Clove Lakes Park Mobile Food Truck,Clove Lakes Park,New York,NULL,FALSE
141,"JANANI FOOD SERVICE, INC.",LITERARY WALK ACROSS FROM R. BURNS STATUE,New York,NULL,FALSE
142,Conference House Park Mobile Food Trucks,Conference House Park,New York,NULL,FALSE
143,MUHAMMAD T. ISLAM,"EAST END OF OF THE GREAT LAWN, EAST 82 ST.",New York,NULL,FALSE
144,Imagination Playground Specialty Food Cart,Imagination Playground,New York,NULL,FALSE
145,"JANANI FOOD SERVICES, INC.",SOUTHEND OF PATH LEADING TO HECKSCHER BLDG.,New York,NULL,FALSE
146,Mohammad Matin,"NORTHEND OF HECKSCHER PLAYGROUND, WEST 63 ST.",New York,NULL,FALSE
147,King David Taco,26 Street and 5th Avenue,New York,NULL,FALSE
148,PS 52 Mason Playground Mobile Food Truck,Dongan Playground,New York,NULL,FALSE
149,"INDULGE BISTRO CAFE, INC.",PATH LEDING INTO PARK BETWEEN WEST 106 AND W108 STS.,New York,NULL,FALSE
150,Ciccarone Park Mobile Food Truck,Ciccarone Park,New York,NULL,FALSE
151,"JANANI FOOD SERVICES, INC.","WEST 109 ST & MALCOLM X, INSIDE PARK (AT FORK)",New York,NULL,FALSE
152,T. Roosevelt Park Specialty Food Cart,West 81 Street and Central Park West,New York,NULL,FALSE
153,Belmont Playground Mobile Food Trucks,Belmont Playground,New York,NULL,FALSE
154,Nandita Inc.,"Great Lawn, W81st  East Of Delacorte Theater",New York,NULL,FALSE
155,Tremont Park Mobile Food Truck,Playground Entrance,New York,NULL,FALSE
156,Battery Park Specialty Food Cart,Battery Place and Washington Street,New York,NULL,FALSE
157,"SHARMIN, INC.","GREAT LAWN, EAST OF WEST DRIVE AT 85 ST",New York,NULL,FALSE
158,Soundview Park Mobile Food Trucks,Soundview Park,New York,NULL,FALSE
159,Coney Island Food Cart,Brighton 2nd Playground,New York,NULL,FALSE
160,Riverside Park Specialty Food Cart,West 83rd Street and Riverside Park,New York,NULL,FALSE
161,Soundview Mobile Food Truck,Soundview Park,New York,NULL,FALSE
162,Russell Pedersen Playground Food Cart,Russell Pedersen Playground,New York,NULL,FALSE
163,Florence Colucci Playground Mobile Food Truck,Colucci Playground,New York,NULL,FALSE
164,Callahan-Kelly Playground Breakfast Cart,Callahan-Kelly Playground,New York,NULL,FALSE
165,Watson Park Mobile Food Trucks,Watson Gleason Playground,New York,NULL,FALSE
166,Dyker Beach Park Food Cart,86th Street and 14th Avenue,New York,NULL,FALSE
167,Mazzei Playground Trucks,Mazzei Playground,New York,NULL,FALSE
168,Public Place Food Cart,ELDERT LANE B/W LIBERTY & GLENMORE,New York,NULL,FALSE
169,Rodmans Neck Mobile Food Truck,Rodman's Neck,New York,NULL,FALSE
170,Sunset Park Food Cart,Sunset Park,New York,NULL,FALSE
171,Pugsley Park Mobile Food Truck,Pugsley Creek Park,New York,NULL,FALSE
172,Rvierside Park Specialty Food Cart,West 101 Street and Riverside Park,New York,NULL,FALSE
173,Central Park Food Cart,East Drive and 61 Street,New York,NULL,FALSE
174,Woodlawn Memorial Mobile Food Truck,Woodlawn Playground,New York,NULL,FALSE
175,Bowling Green Park Specialty Cart,Bowling Green Park,New York,NULL,FALSE
176,Loeb Boathouse Restaurant,East 72nd Street & Park Drive North,New York,NULL,FALSE
177,Central Park Food Cart,Central Park Mall Area,New York,NULL,FALSE
178,Tavern on the Green,Central Park West & West 67th Street,New York,NULL,FALSE
179,Dosa Specialty Food Cart,Washington Square and Thompson Place,New York,NULL,FALSE
180,Maria Hernandez Park Food Cart,Maria Hernandez Park,New York,NULL,FALSE
181,Central Park Food Cart,Central Park Mall near Bandshell,New York,NULL,FALSE
182,Central Park Food Cart,Bethesda Fountain,New York,NULL,FALSE
183,Central Park Food Cart,West Drive and 86 Street,New York,NULL,FALSE
184,Laguardia Park Food Cart,"Madison Street, near playground",New York,NULL,FALSE
185,East River Park Food Cart,"East River Park, Near Tennis Courts",New York,NULL,FALSE
186,East River Park Food Cart,East River Park,New York,NULL,FALSE
187,Wald Playground Food Cart,Wald Playground,New York,NULL,FALSE
188,Inwood Hill Food Cart,Southern Soccer Field,New York,NULL,FALSE
189,Inwood Hill Food Cart,Isham Street Entrance to Park,New York,NULL,FALSE
190,John Jay Park Food Cart,John Jay Park,New York,NULL,FALSE
191,Riverside Park Food Cart,West 109 Street and Riverside Park,New York,NULL,FALSE
192,Riverside Park Food Cart,West 148 Street Near the Playground,New York,NULL,FALSE
193,Washington Square Park Food Cart,Washington Square Park near Fountain,New York,NULL,FALSE
194,Junction Playground Food Cart,Junction Playground,New York,NULL,FALSE
195,Columbus Square Food Cart,Columbus Square,New York,NULL,FALSE
196,Travers Park Food Cart,Travers Park,New York,NULL,FALSE
197,PS 149 Playground Food Cart,Northern Playground,New York,NULL,FALSE
198,Corona Golf Playground Food Cart,Corona Golf Playground,New York,NULL,FALSE
199,Bloomingdale Park Food Cart,Bloomingdale Park,New York,NULL,FALSE
200,Tompkinsville Square Food Cart,Tomkins Square Park,New York,NULL,FALSE
201,Clove Lakes Park Food Cart,Clove Lakes Park,New York,NULL,FALSE
202,Starlight Park Food Cart,Starlight Park,New York,NULL,FALSE
203,J Rodman Drake Park Food Cart,Joseph Rodman Drake Park,New York,NULL,FALSE
204,River Park Food Cart,River Park Boston Road and 180 Street,New York,NULL,FALSE
205,New Leaf Cafe,1 Margaret Corbin Drive,New York,NULL,FALSE
206,Van Cortlandt Park Food Cart,Off Mansion Road,New York,NULL,FALSE
207,West 79th Street Boat Basin Cafe,Rotunda at the West 79 Street Marina,New York,NULL,FALSE
208,Frank O'Connor Park Food Cart,Frank O'Connor Playground,New York,NULL,FALSE
209,Seth Low Park Mobile Food Truck,Between Bay Parkway & Avenue P,New York,NULL,FALSE
210,J.J. Byrne Memorial Park Mobile Food Truck,"4th Avenue to 5th Avenue, between 3rd Street & 5th Street",New York,NULL,FALSE
211,Red Hook Recreation Center Mobile Food Truck,Bay Street between Henry & Clinton streets,New York,NULL,FALSE
212,Colonel Markus Playground Mobile Food Truck,5th Street entrance off of Avenue and Ocean Park,New York,NULL,FALSE
213,G. Garibaldo Playground Trucks,18th Avenue and 82nd Street,New York,NULL,FALSE
214,Brooklyn Queens Expressway Mobile Food Truck,corner of Columbia Terrace & Montague Street,New York,NULL,FALSE
215,William E. Kelly Park Mobile Food Truck,Avenue S between East 14th & East 16th streets,New York,NULL,FALSE
216,Jackie Robinson Park Mobile Food Truck,Bradhurst Avenue between West 145 & West 155 streets,New York,NULL,FALSE
217,Anibal Aviles Playground Mobile Food Truck,West 107 to West 108 street and Amsterdam to Columbus Avenues,New York,NULL,FALSE
218,Highbridge Park Mobile Food Truck,Amsterdam Avenue and West 173 Street,New York,NULL,FALSE
219,Highbridge Park Mobile Food Truck,Amsterdam Avenue & West 177 Street,New York,NULL,FALSE
220,Highbridge Park Mobile Food Truck,Amsterdam Avenue and West 180 Street,New York,NULL,FALSE
221,Inwood Hill Park Mobile Food Truck,Seaman Avenue & West 204 Street to West 214st Street & Indian Road,New York,NULL,FALSE
222,Kissena Corridor Park Mobile Food Truck,Utopia Parkway near Lie & Underhill roads,New York,NULL,FALSE
223,Thomas J. Travers Playground Mobile Food Truck,34th Avenue between 77 & 78 streets,New York,NULL,FALSE
224,Vleigh Place Playground Mobile Food Truck,Vleigh Place & 141 Street,New York,NULL,FALSE
225,Frederick Cabbell Park Mobile Food Truck,236th Stret & 121st Avenue,New York,NULL,FALSE
226,PS 127 Elmhurst Playground Mobile Food Truck,27th Avenue,New York,NULL,FALSE
227,Astoria Park Mobile Food Truck,"Shore Blvd., Hoyt Ave. and Ditmars Blvd",New York,NULL,FALSE
228,Flushing Meadows Corona Park Mobile Food Truck,"Near Unisphere, along the pathway",New York,NULL,FALSE
229,Flushing Meadows Corona Park Mobile Food Truck,Near the Hall of Science,New York,NULL,FALSE
230,Flushing Meadows Corona Park Mobile Food Truck,Near South Bridge By Queens Zoo,New York,NULL,FALSE
231,Bloomingdale Park Mobile Food Truck,"Richmond Parkway, Bloomingdale Road, and Lenevar Avenue",New York,NULL,FALSE
232,Sound View Park Mobile Food Truck,Southwest corner of Metcalf and Lafayette avenues,New York,NULL,FALSE
233,Sound View Park Mobile Food Truck,"Lafayette Ave., btwn. Boynton Ave. and Colgate Ave.",New York,NULL,FALSE
234,Devoe Park Mobile Food Truck,West Fordham Road & University Avenue,New York,NULL,FALSE
235,Vinmont Veteran Park Mobile Food Truck,254th Street to 256th Street & Mosholu Avenue to Riverdale,New York,NULL,FALSE
236,P.S. 106 Playground Mobile Food Truck,St. Raymond Avenue between O'dell & Purdy streets,New York,NULL,FALSE
237,Haffen Park Mobile Food Truck,"Burk, Ely & Gunter Avenues",New York,NULL,FALSE
256, Sushi Inoue,381 Lenox Ave, New York,10027,TRUE
257, Dovetail,103 W 77th St, New York,10024,TRUE
258, Cafe Boulud,20 E 76th St, New York,10021,TRUE
259, Jean-Georges,1 Central Park West, New York,10023,TRUE
260, Masa,10 Columbus Cir, New York,10019,TRUE
261, Per Se,4th Floor  Time Warner Center  10 Columbus Cir, New York,10023,TRUE
262, Marea,240 Central Park S, New York,10019,TRUE
263, Daniel,60 E 65th St, New York,10065,TRUE
264, Torishin,362 W 53rd St, New York,10019,TRUE
265, Le Bernardin,155 W 51st St, New York,10019,TRUE
266, The Modern,9 W 53rd St, New York,10019,TRUE
267, Aquavit,65 E 55th St, New York,10022,TRUE
268, Caviar Russe,538 Madison Ave, New York,10022,TRUE
269, Satsuki (Suzukiâ€™s sushi bar),114 W 47th St (discreetly located), New York,10036,TRUE
270, Chef's Table at Brooklyn Fare,431 W 37th St, New York,10018,TRUE
271, Aureole,135 W 42nd St, New York,10036,TRUE
272, Gabriel Kreuther,41 W 42nd St, New York,10036,TRUE
273, Agern,Grand Central Terminal  89 E 42nd St, New York,10017,TRUE
274, Sushi Ginza Onodera,461 5th Ave, New York,10017,TRUE
275, Sushi Amane,245 E 44th St, New York,10017,TRUE
276, Sushi Yasuda,204 E 43rd St, New York,10017,TRUE
277, Ai Fiori,400 5th Ave #2, New York,10018,TRUE
278, CafÃ© China,13 E 37th St, New York,10016,TRUE
279, Kajitsu,125 E 39th St, New York,10016,TRUE
280, Tempura Matsui,222 E 39th St, New York,10016,TRUE
281, Ushiwakamaru,362 W 23rd St, New York,10011,TRUE
282, The Breslin,16 W 29th St, New York,10001,TRUE
283, The NoMad Restaurant,1170 Broadway, New York,10001,TRUE
284, Del Posto,85 10th Ave, New York,10011,TRUE
285, Casa Enrique,5-48 49th Ave, Long Island City,11101,TRUE
286, Junoon,27 W 24th St, New York,10010,TRUE
287, La Sirena,88 9th Ave, New York,10011,TRUE
288, Eleven Madison Park,11 Madison Ave, New York,10010,TRUE
289, The Clocktower,5 Madison Ave, New York,10010,TRUE
290, Cote Korean Steakhouse,16 W 22nd St, New York,10010,TRUE
291, Rouge Tomate Chelsea,126 W 18th St, New York,10011,TRUE
292, Gunter Seeger NY,641 Hudson St, New York,10014,TRUE
293, ALDEA,31 W 17th St, New York,10011,TRUE
294, Gramercy Tavern,42 E 20th St, New York,10003,TRUE
295, Casa Mono,52 Irving Pl, New York,10003,TRUE
296, WallsÃ©,344 W 11th St, New York,10014,TRUE
297, Gotham Bar and Grill,12 E 12th St, New York,10003,TRUE
298, Nix,72 University Pl, New York,10003,TRUE
299, Babbo,110 Waverly Pl, New York,10011,TRUE
300, Blue Hill,75 Washington Pl, New York,10011,TRUE
301, Kanoyama,175 2nd Ave, New York,10003,TRUE
302, Minetta Tavern,113 Macdougal St, New York,10012,TRUE
303, Sushi Zo,88 W 3rd St, New York,10012,TRUE
304, Carbone,181 Thompson St, New York,10012,TRUE
305, ZZ's Clam Bar,169 Thompson St, New York,10012,TRUE
306, Jewel Bako,239 E 5th St, New York,10003,TRUE
307, Kyo Ya,94 E 7th St, New York,10009,TRUE
308, Momofuku Ko,8 Extra Pl, New York,10003,TRUE
309, Hirohisa,73 Thompson St, New York,10012,TRUE
310, The Musket Room,265 Elizabeth St, New York,10012,TRUE
311, Rebelle,218 Bowery, New York,10012,TRUE
312, Uchu,217 Eldridge St, New York,10002,TRUE
313, Uncle Boons,7 Spring St, New York,10012,TRUE
314, Contra,138 Orchard St, New York,10002,TRUE
315, BÃ¢tard,239 W Broadway, New York,10013,TRUE
316, Jungsik,2 Harrison St, New York,10013,TRUE
317, Delaware and Hudson,135 N 5th St, Brooklyn,11249,TRUE
318, Atera,77 Worth St, New York,10013,TRUE
319, Aska,47 S 5th St, Brooklyn,11249,TRUE
320, L'Appart,225 Liberty St, New York,10281,TRUE
321, Meadowsweet,149 Broadway, Brooklyn,11211,TRUE
322, Peter Luger Steak House,178 Broadway, Brooklyn,11211,TRUE
323, Faro,436 Jefferson St, Brooklyn,11237,TRUE
324, Blanca,261 Moore St, Brooklyn,11206,TRUE
325, The River CafÃ©,1 Water St, Brooklyn,11201,TRUE
326, La Vara,268 Clinton St, Brooklyn,11201,TRUE
327, The Finch,212 Greene Ave, Brooklyn,11238,TRUE
383,NOTARO RESTAURANT, 635SECOND AVENUE,MANHATTAN,10016,FALSE
384,AKIMOTO SUSHI, 187CHURCH STREET,MANHATTAN,10007,FALSE
386,''W'' CAFE, 3905TH AVE,MANHATTAN,10018,FALSE
387,TOMOE SUSHI, 172THOMPSON STREET,MANHATTAN,10012,FALSE
388,SALUMERIA BEILLESE/ BIRICCHINO REST, 3788 AVENUE,MANHATTAN,10001,FALSE
389,FAMOUS FAMIGLIA PIZZERIA, 1398MADISON AVENUE,MANHATTAN,10029,FALSE
390,O'NIEALS, 174GRAND STREET,MANHATTAN,10013,FALSE
391,DA MIKELE, 275CHURCH STREET,MANHATTAN,10013,FALSE
392,ALPHAVILLE, 140WILSON AVE,BROOKLYN,11237,FALSE
393,RENAISSANCE HOTEL, 7147 AVENUE,MANHATTAN,10036,FALSE
394,PIZZETTERIA BRUNETTI, 626HUDSON STREET,MANHATTAN,10014,FALSE
395,DELIMARIE, 106DUANE STREET,MANHATTAN,10007,FALSE
396,AUX EPICES, 121BAXTER STREET,MANHATTAN,10013,FALSE
397,YAKITORI TAISHO, 5ST MARKS PLACE,MANHATTAN,10003,FALSE
398,KITCHEN PROVANCE, 55WEST   38 STREET,MANHATTAN,10018,FALSE
399,NOM WAH TEA/DIM SUM PALOR, 13DOYERS STREET,MANHATTAN,10013,FALSE
400,EL BARRIO RESTAURANT, 158EAST  116 STREET,MANHATTAN,10029,FALSE
401,BALLY TOTAL FITNESS JUICE BAR, 139W 32ND ST,MANHATTAN,10001,FALSE
402,MIDNIGHT EXPRESS, 17152 AVENUE,MANHATTAN,10128,FALSE
403,ANGEL CANDY STORE, 634WEST  207 STREET,MANHATTAN,10034,FALSE
404,ICHI UMI, 6EAST   32 STREET,MANHATTAN,10016,FALSE
405,BASTA PASTA RESTAURANT, 37WEST 17 STREET,MANHATTAN,10011,FALSE
406,HARRY'S ITALIAN, 2GOLD STREET,MANHATTAN,10038,FALSE
407,SAIGON MARKET, 9193UNIVERSITY PLACE,MANHATTAN,10003,FALSE
