id,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,"CUISINE DESCRIPTION",Starred
72,41450562,MATISSE,MANHATTAN,924,"2 AVENUE",10022,2125469300,French,FALSE
73,41235038,"JUST SALAD",MANHATTAN,134,"WEST   37 STREET",10018,2122447315,Salads,FALSE
74,50064086,"Little Italy",MANHATTAN,180,"VARICK ST",10014,2123664848,Italian,FALSE
75,41497089,"EL NUEVO TAINO",MANHATTAN,2228,"AMSTERDAM AVENUE",10032,2125439635,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",FALSE
76,50056333,"FAIRFIELD INN & SUITES MANHATTAN  NEW YORK CENTRAL PARK",MANHATTAN,538,"W 58TH ST",10019,2127578550,American,FALSE
77,40400129,"LA CARIDAD RESTAURANT",MANHATTAN,2092,"AMSTERDAM AVENUE",10032,2129237648,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",FALSE
78,50002119,STARBUCKS,MANHATTAN,151,"WEST 34TH STREET",10001,2122396524,CafÃƒÂ©/Coffee/Tea,FALSE
79,40400641,"TOUCH OF DEE'S",MANHATTAN,657,"LENOX AVENUE",10037,2126949530,American,FALSE
80,41117050,"28 NOODLES",MANHATTAN,417,"3 AVENUE",10016,2126792888,Chinese,FALSE
81,41559999,DARKHORSE,MANHATTAN,17,"MURRAY STREET",10007,2126083900,American,FALSE
82,50002500,PIPPALI,MANHATTAN,129,"E 27TH ST",10016,2126891999,Indian,FALSE
83,40581917,"EMPORIUM BRASIL RESTAURANT",MANHATTAN,15,"WEST   46 STREET",10036,2127644646,Brazilian,FALSE
84,41627819,"JACOB'S PICKLES",MANHATTAN,509,"AMSTERDAM AVENUE",10024,2124705566,American,FALSE
85,41244947,"MCKINSEY & COMPANY CAFETERIA",MANHATTAN,55,"E 52ND ST",10022,2124467180,American,FALSE
86,50054588,"THE JUILLIARD SCHOOL(ROSE CAFE)",MANHATTAN,165,"WEST 65 ST",10023,2126714313,American,FALSE
87,50045574,TREEHAUS,MANHATTAN,830,"3RD AVE",10022,2123559855,Delicatessen,FALSE
88,41670338,"A ASO SUSHI",MANHATTAN,1103,"1 AVENUE",10065,2128888276,Japanese,FALSE
89,50017772,RESERVIOR,MANHATTAN,70,"UNIVERSITY PL",10003,2124750770,American,FALSE
90,40513414,"PADDY MAGUIRE'S ALE HOUSE",MANHATTAN,237,"THIRD AVENUE",10003,2122530031,"Bottled beverages, including water, sodas, juices, etc.",FALSE
91,41717500,"JOE'S PIZZA",MANHATTAN,150,"EAST   14 STREET",10003,2123889474,Pizza,FALSE
92,50049008,TABLETIME,MANHATTAN,20,"E 42ND ST",10017,2126824242,American,FALSE
93,50014417,"SHU HAN JU AUTHENTIC CHINESE CUISINE",MANHATTAN,465,"6TH AVE",10011,2124288800,Chinese,FALSE
94,50061410,"PIZZA SHACK",MANHATTAN,525,"GRAND ST",10002,2124773367,Pizza,FALSE
95,40390902,"SCOTTY'S DINER",MANHATTAN,336,"LEXINGTON AVENUE",10016,2129861520,American,FALSE
96,50038190,"TASTY TASTY CHINESE",MANHATTAN,534,"E 14TH ST",10009,2129798333,Chinese,FALSE
97,41661174,"V {iv} Thai Restaurant & Bar",MANHATTAN,138,"EAST   34 STREET",10016,2122133317,Thai,FALSE
98,41355345,"CORNERSTONE TAVERN/THE STAG'S HEAD",MANHATTAN,961,"2 AVENUE",10022,2128882453,Irish,FALSE
99,41698218,Bustan,MANHATTAN,487,"AMSTERDAM AVENUE",10024,2125955050,Italian,FALSE
100,40751933,"SIDO FALAFEL & MORE",MANHATTAN,267,"COLUMBUS AVE",10023,2124962803,Mediterranean,FALSE
101,41478531,"THE RED LION",MANHATTAN,151,"BLEECKER STREET",10012,2122609797,American,FALSE
102,41390347,ANDAZ,MANHATTAN,1378,"1 AVENUE",10021,2122880288,Indian,FALSE
103,50001789,"RESTAURANTE & PANADERIA GUATELINDA",QUEENS,170-18,"JAMAICA AVE",11432,2124706169,Spanish,FALSE
104,41659206,"SIGGY'S NYC",MANHATTAN,292,"ELIZABETH STREET",10012,2122265775,American,FALSE
105,40392724,"JAIYA THAI ORIENTAL RESTAURANT",MANHATTAN,396,"THIRD AVENUE",10016,2128891330,Thai,FALSE
106,40623604,"GOOD ENOUGH TO EAT (A.G. BISTRO)",MANHATTAN,520,"COLUMBUS AVENUE",10024,2125793194,American,FALSE
107,40993654,"HELLS KITCHEN CAFE/HK LOUNGE",MANHATTAN,523,"9 AVENUE",10018,2129474208,American,FALSE
108,41585567,PAPPARDELLA,MANHATTAN,316,"COLUMBUS AVENUE",10023,2125957996,Italian,FALSE
109,41383631,"DUNKIN' DONUTS",MANHATTAN,130,"CHURCH STREET",10007,2126083512,Donuts,FALSE
110,41104875,"BELLA VITA PIZZERIA",MANHATTAN,211,"WEST   43 STREET",10036,2127301479,Pizza/Italian,FALSE
111,40400453,"CAFE EIGHTY TWO",MANHATTAN,2282,BROADWAY,10024,2128758373,American,FALSE
112,40534379,"CIRCO RESTAURANT",MANHATTAN,120,"WEST   55 STREET",10019,2122653636,Italian,FALSE
113,41042200,"MAMA'S BAR",MANHATTAN,3234,"AVENUE B",10009,2127775729,American,FALSE
114,40864145,"TIMES DELI & CAFE",MANHATTAN,158,"WEST 44 STREET",10036,2129441234,Delicatessen,FALSE
115,50039082,"EL CASTILLO DE JAGUA II",MANHATTAN,521,"GRAND ST",10002,2129950244,Spanish,FALSE
116,40998581,"TRUMP CAFE & GRILL",MANHATTAN,725,"5 AVENUE",10022,2127157290,American,FALSE
117,41443726,"MCKENNA'S PUB",MANHATTAN,250,"WEST   14 STREET",10011,2122552889,American,FALSE
118,41653616,HAKKASAN,MANHATTAN,311,"WEST   43 STREET",10036,2127761818,Chinese,FALSE
119,50013774,PINGS,MANHATTAN,22,"MOTT ST",10013,2126029988,Seafood,FALSE
120,40387890,"TRE GIOVANI PIZZA & PASTA",MANHATTAN,548,"LA GUARDIA PLACE",10012,2124757420,Italian,FALSE
121,40745126,"PINOCCHIO RISTORANTE",MANHATTAN,1748,"1 AVENUE",10128,2128285810,Italian,FALSE
122,41259230,"INDO-PAK HALAL RESTAURANT",MANHATTAN,2173,"2 AVENUE",10029,2129878150,Pakistani,FALSE
123,40392685,"DOJO RESTAURANT",MANHATTAN,10,"WEST 4 STREET",10012,2125058934,Japanese,FALSE
124,50001889,"UMAMI BURGER",MANHATTAN,432,"AVENUE OF THE AMERICAS",10011,2126778626,Hamburgers,FALSE
125,41510816,"OUTBACK STEAKHOUSE",MANHATTAN,60,"WEST   23 STREET",10010,2129893122,Steak,FALSE
126,41061355,"THE DELANCEY",MANHATTAN,168,"DELANCEY STREET",10002,2122549920,American,FALSE
127,41644326,"2 WEST RESTAURANT",MANHATTAN,2,"WEST STREET",10004,2123440800,American,FALSE
128,40391517,"VICO RISTORANTE",MANHATTAN,1302,"MADISON AVENUE",10128,2128762222,Italian,FALSE
129,41485255,"TOASTIES CAFE",MANHATTAN,599,"LEXINGTON AVENUE",10022,2126448780,Delicatessen,FALSE
130,41689500,"KINGSTON HALL",MANHATTAN,149,"2 AVENUE",10003,2126732663,American,FALSE
131,50045953,"EAST VILLAGE THIA RESTAURANT",MANHATTAN,32,"E 7TH ST",10003,2126734610,Thai,FALSE
132,40380517,"BARNEY GREENGRASS",MANHATTAN,541,"AMSTERDAM AVENUE",10024,2127244707,Jewish/Kosher,FALSE
133,41631799,PARM,MANHATTAN,248,"MULBERRY STREET",10012,2129937189,Italian,FALSE
134,40391699,"H & H MIDTOWN BAGELS EAST",MANHATTAN,1551,"2 AVENUE",10028,2127347441,Bagels/Pretzels,FALSE
135,50017981,"PHO THANH HOAI 1",MANHATTAN,73,"MULBERRY ST",10013,2122338988,Vietnamese/Cambodian/Malaysia,FALSE
136,41008526,KANOYAMA,MANHATTAN,175,"2 AVENUE",10003,2127775266,Japanese,FALSE
137,41648196,"VOILA 76",MANHATTAN,1452,"2 AVENUE",10021,2122882533,"Sandwiches/Salads/Mixed Buffet",FALSE
138,40369954,"VOLARE RESTAURANT",MANHATTAN,147,"WEST FOURTH STREET",10012,2127772849,Italian,FALSE
139,40878590,"SAPPORO RESTAURANT",MANHATTAN,152,"WEST   49 STREET",10019,2128698972,Japanese,FALSE
140,40385852,"SAM'S PLACE",MANHATTAN,132,"EAST   39 STREET",10016,2125996360,Italian,FALSE
141,41678553,"JESSIE'S EXPRESS CAFE",MANHATTAN,411,"8 AVENUE",10001,2122551266,"Sandwiches/Salads/Mixed Buffet",FALSE
142,40798457,"RITZ DINER",MANHATTAN,1133,"1 AVENUE",10065,2123194993,American,FALSE
143,41464967,"OAXACA MEXICAN GRILL",MANHATTAN,245,"PARK AVENUE",10003,2128189500,Mexican,FALSE
144,40785056,"NEW ANDY'S DELI",MANHATTAN,873,BROADWAY,10003,2124771110,Delicatessen,FALSE
145,40798457,"RITZ DINER",MANHATTAN,1133,"1 AVENUE",10065,2123194993,American,FALSE
146,50066251,KINI,QUEENS,4227,"35TH AVE",11101,2019687446,Other,FALSE
147,41680991,"BLAKE AND TODD",MANHATTAN,52,"EAST   53 STREET",10022,2123551800,American,FALSE
148,41712797,"MING'S DELIGHT",MANHATTAN,594,"3 AVENUE",10016,2129222888,Chinese,FALSE
149,50016010,"M & J ASIAN RESTAURANT",MANHATTAN,600,"E 14TH ST",10009,2125336888,Chinese,FALSE
150,41689018,COCORON,MANHATTAN,37,"KENMARE STREET",10012,2129660800,Japanese,FALSE
151,50034970,"MILK N' HONEY",MANHATTAN,22,"W 45TH ST",10036,2127644400,Jewish/Kosher,FALSE
152,50004782,Polpette,MANHATTAN,483,"AMSTERDAM AVE",10024,2128580511,Italian,FALSE
153,41701016,"THE TULCINGO AZTECA",MANHATTAN,3861,"10 AVENUE",10034,2125676028,Mexican,FALSE
154,40993590,CARIDAD,MANHATTAN,588,"AMSTERDAM AVENUE",10024,2125958121,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",FALSE
155,41562204,"GUY & GALLARD",MANHATTAN,470,"PARK AVENUE SOUTH",10016,2124271106,American,FALSE
156,41370730,"PONTY BISTRO",MANHATTAN,218,"3 AVENUE",10003,2127771616,French,FALSE
157,50015344,"ROOM SERVICE",MANHATTAN,690,"9TH AVE",10036,2125820999,Thai,FALSE
158,41354251,"HAMPTON INN",MANHATTAN,54,"WATTS STREET",10013,2122266288,American,FALSE
159,50033747,"DIG INN",MANHATTAN,16,"E 23RD ST",10010,2122536174,American,FALSE
160,40848604,"JO JO",MANHATTAN,160,"EAST   64 STREET",10065,2122335656,French,FALSE
161,40978159,"CANDLE 79 RESTAURANT",MANHATTAN,154,"EAST   79 STREET",10075,2125377179,Vegetarian,FALSE
162,50001114,Pick-A-Bagel,MANHATTAN,1101,"LEXINGTON AVE",10075,2125176590,Bagels/Pretzels,FALSE
163,40387237,"LIVE BAIT BAR & RESTAURANT",MANHATTAN,14,"EAST   23 STREET",10010,2123532400,Seafood,FALSE
164,40645474,"OLD JOHN'S LUNCHEONETTE",MANHATTAN,148,"WEST   67 STREET",10023,2128742700,American,FALSE
165,41011050,"EAST 86 CINEMAS",MANHATTAN,210,"EAST   86 STREET",10028,2127344169,American,FALSE
166,41442084,"EL PARADOR CAFE",MANHATTAN,325,"EAST   34 STREET",10016,2126796812,Mexican,FALSE
167,50003508,BINY,MANHATTAN,393,"CANAL ST",10013,2123345490,Chinese/Japanese,FALSE
168,50017956,"DA MARINO RESTAURANT",MANHATTAN,220,"W 49TH ST",10019,2125416601,Italian,FALSE
169,40366379,"BLARNEY ROCK",MANHATTAN,137,"WEST   33 STREET",10001,2129470825,Irish,FALSE
170,40888787,"POPEYES LOUISIANA KITCHEN",MANHATTAN,53,"WEST  116 STREET",10026,2122890440,Chicken,FALSE
171,41388569,"GINGERS (DOUBLE TREE HOTEL)",MANHATTAN,1568,BROADWAY,10036,2127191600,American,FALSE
172,40365904,"MEE SUM CAFE",MANHATTAN,26,"PELL STREET",10013,2123495260,CafÃƒÂ©/Coffee/Tea,FALSE
173,40929352,AGOZAR,MANHATTAN,324,BOWERY,10012,2126776773,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",FALSE
174,41360332,"NEW WING WAH BAKERY",MANHATTAN,246,"GRAND STREET",10002,2129411924,Bakery,FALSE
175,41668300,GIRELLO,MANHATTAN,16,"NORTH MOORE STREET",10013,2129410109,Italian,FALSE
176,40950507,"YUMMY SUSHI",MANHATTAN,30,"ROCKFEELLER PLAZA",10020,2124592100,Japanese,FALSE
177,50047529,"GLEASON'S TAVERN",MANHATTAN,206,"W 41ST ST",10036,2123022167,American,FALSE
178,50019124,RAMEN-YA,MANHATTAN,133,"W 3RD ST",10012,2122548828,Japanese,FALSE
179,40634713,"NEW YORK UNIVERSITY - LIPTON HALL",MANHATTAN,33,"WASHINGTON SQUARE WEST",10011,2129953074,American,FALSE
180,41008388,LANDMARC,MANHATTAN,179,"WEST BROADWAY",10013,2123433883,French,FALSE
181,40364347,"METROPOLITAN CLUB",MANHATTAN,1,"EAST   60 STREET",10022,2128387400,American,FALSE
182,41711186,AMAZE,MANHATTAN,466,"AMSTERDAM AVENUE",10024,2128744888,Japanese,FALSE
183,40803550,"BAKER STREET PUB",MANHATTAN,1152,"1 AVENUE",10065,2126889663,American,FALSE
184,50002403,"LA BELLEZZA PIZZERIA",MANHATTAN,315,BROADWAY,10007,2122273337,Pizza,FALSE
185,40584086,"CHO DANG GOL",MANHATTAN,55,"WEST   35 STREET",10001,2126958222,Korean,FALSE
186,40394357,"ABITINO'S PIZZA",MANHATTAN,733,"2 AVENUE",10016,2126611919,Pizza,FALSE
187,41264019,POCO,MANHATTAN,33,"AVENUE B",10009,2122284461,Spanish,FALSE
188,50009118,BEAUTIQUE,MANHATTAN,8,"W 58TH ST",10019,2127531200,American,FALSE
189,50015072,"CROWN FRIED CHICKEN",MANHATTAN,117,"AVENUE D",10009,2129822850,Chicken,FALSE
190,50044522,"CLUB GRILL",MANHATTAN,4,"PENN PLZ",10121,2124656273,American,FALSE
191,41457638,"FINEST DUMPLING RESTAURANT",MANHATTAN,"25 B","HENRY STREET",10002,2126088962,Chinese,FALSE
192,40854979,"HYO DONG GAK",MANHATTAN,51,"WEST   35 STREET",10001,2126957167,Korean,FALSE
193,41075977,"SOPHIE'S RESTAURANT",MANHATTAN,369,"LEXINGTON AVENUE",10017,2129223576,Spanish,FALSE
194,41707137,"NEW RANCHITO",MANHATTAN,924,"AMSTERDAM AVENUE",10025,2126787923,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",FALSE
195,40573715,"HUDSON BAR AND BOOKS",MANHATTAN,636,"HUDSON STREET",10014,2122292642,American,FALSE
196,50042118,"VIV RESTAURANT",MANHATTAN,717,"9TH AVE",10019,2125815999,Thai,FALSE
197,41235437,"SOLO PIZZA",MANHATTAN,27,"AVENUE B",10009,2124207656,Pizza,FALSE
198,50003708,"NOODLE Q",MANHATTAN,2,"E BROADWAY",10038,2122198223,Chinese,FALSE
199,41566063,BIERHAUS,MANHATTAN,712,"3 AVENUE",10017,2128672337,German,FALSE
200,50002071,"DELIS 48",MANHATTAN,48,"W 48 STREET",10036,2127689600,American,FALSE
201,41710873,"BOULEVARD BISTRO",MANHATTAN,239,"LENOX AVENUE",10027,2126786200,American,FALSE
202,41311297,"DOCKS RESTAURANT",MANHATTAN,633,"3 AVENUE",10017,2129868080,Seafood,FALSE
203,41632738,"DONT TELL MAMA",MANHATTAN,343,"WEST   46 STREET",10036,2127570788,American,FALSE
204,41527847,"THE COTTAGE/AZUKI JAPANESE",MANHATTAN,120,"EAST   16 STREET",10003,2125058600,Chinese,FALSE
205,40574871,"BALTHAZAR RESTAURANT",MANHATTAN,80,"SPRING STREET",10012,2129651785,French,FALSE
206,41491955,"WEST SIDE STEAKHOUSE",MANHATTAN,597,"10 AVENUE",10036,2125644803,Steak,FALSE
207,41636513,"BLU CAFE BY TAVALON",MANHATTAN,120,"RIVERSIDE BOULEVARD",10069,2125801200,American,FALSE
208,41387576,"ANGELA'S CAKE",MANHATTAN,182,"AUDUBON AVENUE",10033,2123044745,Bakery,FALSE
209,50036672,BAREBURGER,MANHATTAN,313,"W 57TH ST",10019,2126852273,American,FALSE
210,50011393,"A1 OCHA SUSHI",MANHATTAN,350,"W 46TH ST",10036,2125813198,Japanese,FALSE
211,50018468,"SAVOUR SICHUAN",MANHATTAN,108,"W 39TH ST",10018,2122217237,Chinese,FALSE
212,40375839,"COZY SOUP & BURGER",MANHATTAN,739,BROADWAY,10003,2124775566,American,FALSE
213,50002403,"LA BELLEZZA PIZZERIA",MANHATTAN,315,BROADWAY,10007,2122273337,Pizza,FALSE
214,40383009,"CHA CHA'S BACKYARD GARDEN BAR & CAFE",MANHATTAN,113,"MULBERRY STREET",10013,2124319755,Italian,FALSE
215,41223834,"CHIPOTLE MEXICAN GRILL",MANHATTAN,350,"5 AVENUE",10118,2126950412,Mexican,FALSE
216,50002843,CHERI,MANHATTAN,231,"MALCOLM X BLVD",10027,2126621266,French,FALSE
217,41719922,TASTINGS,MANHATTAN,251,"EAST  110 STREET",10029,2127444422,French,FALSE
218,41426077,"GEORGIO'S PIZZERIA",MANHATTAN,20,"BEAVER STREET",10004,2123616160,Pizza,FALSE
219,40993101,"SANT AMBROEUS",MANHATTAN,259,"WEST    4 STREET",10014,2126049254,Italian,FALSE
220,40646987,"YURA & COMPANY ON MADISON",MANHATTAN,1292,"MADISON AVENUE",10128,2128601598,American,FALSE
221,41621807,"WEI WEST/BEANS & GREENS",MANHATTAN,102,"NORTH END AVENUE",10282,2127861300,Asian,FALSE
222,41031707,"LA BOITE EN BOIS",MANHATTAN,75,"WEST   68 STREET",10023,2128742705,French,FALSE
223,41131819,"REVEL ITM GARDEN",MANHATTAN,10,"LITTLE WEST   12 STREET",10014,2126455369,Italian,FALSE
224,41669598,"SUGAR AND PLUMM",MANHATTAN,377,"AMSTERDAM AVENUE",10024,2127878778,American,FALSE
225,40635366,"THE LIBRARY",MANHATTAN,7,"AVENUE A",10009,2123751352,"Bottled beverages, including water, sodas, juices, etc.",FALSE
226,40727820,"HOUSING WORKS FOOD",MANHATTAN,126,"CROSBY STREET",10012,2129660466,American,FALSE
227,41608396,VAI,MANHATTAN,429,"AMSTERDAM AVENUE",10024,2123624500,Mediterranean,FALSE
228,50053538,"ZORA'S CAFE",MANHATTAN,712,"9TH AVE",10019,2127575888,"Soul Food",FALSE
229,50042549,"VANESSA DUMPLINGS",MANHATTAN,118A,"ELDRIDGE ST",10002,2126258008,Chinese,FALSE
230,40361708,"BULLY'S DELI",MANHATTAN,759,BROADWAY,10003,2122549755,Delicatessen,FALSE
231,50002843,CHERI,MANHATTAN,231,"MALCOLM X BLVD",10027,2126621266,French,FALSE
232,50032642,DELICACY,MANHATTAN,12,"E 44TH ST",10017,2126974444,Delicatessen,FALSE
233,50002897,"TASTE GOOD RESTAURANT",MANHATTAN,18,"WEST 25TH STREET",10010,2127413223,Chinese,FALSE
234,40676801,"IGUANA RESTAURANT",MANHATTAN,240,"WEST   54 STREET",10019,2127655454,Mexican,FALSE
235,50036241,"CAFE CON LECHE",MANHATTAN,2026,"2ND AVE",10029,2125957000,Spanish,FALSE
236,41600457,"TABATA NOODLE RESTAURANT",MANHATTAN,540,"9 AVENUE",10018,2122907681,Japanese,FALSE
