id,name,location,description,permit_number,phone,website,type_name,city,Starred
40,"Central Park Food Cart","East side of West Drive at West 96 Street",None,M10-W67-C,None,None,"Food Cart","New York",FALSE
41,"Verdi Square Snack Bar","72nd Street and Broadway","Le Pain Quotidien bakery and communal table serves simple, elegant boulangerie fare - soup, salads, tartines (open-faced sandwiches), breakfast, homemade pastries, and its signature handmade organic bread. A wide selection of breads is baked fresh daily in Le Pain Quotidien's central bakery in New York City and delivered every morning. The snack bar kiosk at Verdi Square offers "to go" coffee and pastries. The site also features an expanded seating area to comfortably enjoy a bite to eat.",M94-SB,None,http://www.lepainquotidien.com/,"Snack Bar","New York",FALSE
42,"Battery Gardens Restaurant","1 Battery Park Plaza",None,M5-F-R,"(212) 809-5508",http://www.batterygardens.com/,Restaurant,"New York",FALSE
43,"Battery Park Food Cart","8 Various Locations",None,M5-C,None,None,"Food Cart","New York",FALSE
44,Bocce,"Northern Plaza Pavilion","Bocce Union Square is the NYC is located in the heart of Union Square Park, where patrons can enjoy pizza, Italian food, refreshing drinks and some friendly competition on the bocce court.",M89-SB-R,212-677-7818,https://bocceunionsquare.com/,Restaurant,"New York",FALSE
45,"Frank O'connor Park Food Cart","Broadway, between 78th Street and 79th Street",None,Q98-C,None,None,"Food Cart","New York",FALSE
46,"Arthur Kill Road Restaurant","Arthur Kill Road & Richmond Avenue",None,R13-R,None,None,Restaurant,"New York",FALSE
47,"Flushing Meadows Corona Park Food Cart","North corner of Soccer Field #5",None,Q99-(1)-C,None,None,"Food Cart","New York",FALSE
48,"Flushing Meadows Corona Park Food Cart","Around the outer pathway of the Unisphere",None,Q99-2-C,None,None,"Food Cart","New York",FALSE
49,"Columbus Park Snack Bar","Brooklyn Borough Hall",None,B113-C-SB,None,None,"Snack Bar","New York",FALSE
50,"Flushing Meadows Corona Park Food Cart","Flushing Meadows Corona Park, the designated volleyball Area",None,Q99-VB5C,None,None,"Food Cart","New York",FALSE
51,"Golden Ring, Inc.","595 Bedford Avenue at the corner of Bedford Avenue and Williamsburg Street","Situated in the heart of Williamsburg, the concessionaire has been serving up Falafel for years.  In addition to falafel, it also offers other specialty Mediterranean dishes, including hummus (ground chickpeas), babaganoush (eggplant dip) and more.",B223-O-A-SB,"(718) 384-6577",None,"Snack Bar","New York",FALSE
52,"Prospect Park Snack Bar","Parade Grounds",None,B73-SB,None,https://www.prospectpark.org/visit-the-park/places-to-go/parade-ground/,"Snack Bar","New York",FALSE
53,"Flushing Meadows Corona Park Food Cart","Flushing Meadows Corona Park, in the the designated volleyball area",None,Q99-VBDC,None,None,"Food Cart","New York",FALSE
54,"Conservatory Water Snack Bar","Adjacent to the beautiful Conservatory Waters, between 72nd & 75th streets","Perched on the south side of Central Park's Conservatory Water, our Snack Shack offers gourmet snacks to park visitors from organic solar-popped popcorn to organic Blue Marble ice cream. Come enjoy one of our delicious snacks as you stroll around this peaceful sailboat pond.",M10(15)-SB,"(646) 939-0020",http://www.lepainquotidien.com/store/central-park-conservatory-water/,"Snack Bar","New York",FALSE
55,"Flushing Meadows Corona Park Food Cart","Flushing Meadows Corona Park, in the the designated volleyball area",None,Q99-VBEC,None,None,"Food Cart","New York",FALSE
56,"West Playground Mobile Food Truck","West Playground",None,B252-MT,None,None,"Mobile Food Truck","New York",FALSE
57,"Mineral Springs Cafe","Between 69th and 70th Streets and between Terrace Drive and Sheep Meadow","Le Pain Quotidien bakery and communal table serves simple, elegant boulangerie fare - soup, salads, tartines (open-faced sandwiches), breakfast, homemade pastries, and its signature handmade organic bread.  A wide selection of breads is baked fresh daily in Le Pain Quotidien's central bakery in New York City and delivered every morning.
Special offerings at Le Pain Quotidien Mineral Springs include organic draft beer, organic ice cream, fresh homemade Belgian waffles, take-out baguette sandwiches, pre-packed picnic boxes, and free extended-range Wi-Fi.  The location also offers table service in the 30-seat dining room and 100-seat terrace overlooking Sheep Meadow, as well as to-go service from a take-out window.
Additionally, the cafe serves as a community gathering place and education center with its Communal Table at Mineral Springs program.  Each week it features a new educational program focusing on topics such as sustainability and the environment; eating organic and vegan; organic farming; bread and bread-making; and tastings of sustainably grown wine, olive oil, honey, and other foods.",M10-33-SB,"(646) 663-3257",http://www.lepainquotidien.com/,"Snack Bar","New York",FALSE
58,"Delacorte Theatre Snack Bar","The Delacorte Theatre",None,M10-DT-SB,None,None,"Snack Bar","New York",FALSE
59,"Flushing Meadows Corona Park Food Cart","In the designated volleyball area",None,Q99-VBFC,None,None,"Food Cart","New York",FALSE
60,"Underwood Park Mobile Trucks","Underwood Park",None,B259MT,None,None,"Mobile Food Truck","New York",FALSE
61,"Van Cortlandt Park Food Cart","Near Paddleball courts at Broadway & West 241 Street",None,X92-(11)-C,None,None,"Food Cart","New York",FALSE
62,"Ballfields Cafe","Heckscher Ballfields, south of 65th Street & west of the carousel","Directly bordering the Heckscher Ballfields in Central Park on its northeast side resides the Ballfields Cafe. Aptly named for its locale, this cafe is frequented by hungry spectators from the ball fields as well as strollers who stop by for a quick meal. This current building replaced an original Ballplayers House at the same site, which stood from 1873 to 1969. This quaint red and cream brick structure with its red-checkered tablecloths and green umbrellas serves up all of its items made to order. Besides the typical "Take me out to the ball game" fare, such as hot dogs and hamburgers, patrons will be pleased to find sandwiches and salads at reasonable prices. While dining outdoors, patrons can watch some of the baseball or softball games in action. Music from the nearby Carousel can be heard as it mingles with the cheers and jeers of the crowds as the crack of a bat hits a ball through the air.",M10-65-SB,"(917) 432-9661 ",None,"Snack Bar","New York",FALSE
63,"Ocean Breeze Snack Bar","Ocean Breeze Athletic Complex",None,R149-SB,None,None,"Snack Bar","New York",FALSE
64,"Arsenal Snack Bar","Basement of 830 5th Avenue","Customers can get fresh breakfast items such as muffins, croissants, and bagels to accompany their cup of morning coffee or can stop by for soup or a sandwich for lunch.",M10-SB,"(212) 439-6500",http://www.centralparkzoo.com,"Snack Bar","New York",FALSE
65,"Williamsbridge Oval Playground Food Cart","Van Cortlandt Avenue East & Reservoir Oval East",None,X104-C,None,None,"Food Cart","New York",FALSE
66,"Dag Hammarskjold Plaza Cafe","342 East 47th Street",None,M203C-SB,None,http://hospitalityholdings.com.s168780.gridserver.com/index.php&Alpha;id=patio,"Snack Bar","New York",FALSE
67,"Hunter's Point South Snack Bar","Hunter's Point South Park","Set against the breathtaking backdrop of Manhattan's skyline, LIC Landing  features a spectacular 2000 sq-ft outdoor event space and a high-quality outdoor cafe.  It is located in Long Island City's beautiful, brand-new waterfront park at Hunters Point South.",Q471-SB,"(929) 296 0804",http://www.liclanding.com/,"Snack Bar","New York",FALSE
68,"Shake Shack","Southeast corner of Madison Square Park-near Madison Avenue and East 23rd Street","Shake Shack is a modern day &acirc;&euro;&oelig;roadside burger stand&acirc;&euro; serving the most delicious burgers, hot dogs, frozen custard, beer and wine from Danny Meyer&acirc;&euro;&trade;s Union Square Hospitality Group. Shake Shack&acirc;&euro;&trade;s mission is to preserve (and add its spin on) the culinary traditions of classic American burger stands. Using the freshest high quality ingredients, all the food at Shake Shack is cooked to order (from burgers to shakes to everything in between). Since opening in 2004, Shake Shack has become a beloved NYC institution with a cult following.",M52-SB,"(212) 889-6600",http://www.shakeshack.com/,"Snack Bar","New York",FALSE
69,"Pelham Bay Park Food Cart","Outside playground #1, at Middleton Road",None,X39-1-C,None,None,"Food Cart","New York",FALSE
70,"Ellington In The Park","105th Street and Riverside Park","The bi-level facilities are refreshingly minimalist: a wooden, well-stocked bar and a couple of portable grills. Although the view is of the roaring West Side Highway rather than lapping waves, and shouts can be heard from the nearby baseball games, the cafe manages to conjure a festive, splash-happy mood. Locals-mostly well-groomed young folk and families with small kids-crowd the semi-secluded oasis for hamburgers, sandwiches, salads and fruity concoctions either at the bar or at tables set up in front of it. On the weekends, the cafe serves brunch.",M71(105)-R,None,http://www.ellingtoninthepark.com/,"Snack Bar","New York",FALSE
71,"Van Cortlandt Park Mobile Food Truck","Mosholu Parkway South & North Between Van Cortlandt",None,X92-10-C,None,None,"Food Cart","New York",FALSE
72,"Pier I Cafe","West 70 Street near Pier I","Pier I Cafe is an outdoor cafe located along the Hudson River, in the newly constructed Riverside Park South.  Open air, scenic river views and dramatic sunsets, provide both an escape while adding another dimension to city life. Pier I Cafe offers a casual menu; the ingredients are high quality, fresh food.  Whether you order the Pat La Frieda burgers served on buns baked daily or the freshly squeezed blueberry lemonade,  you will have a relaxing and pleasurable experience.  Start your day sipping a latte or espresso at the coffee bar and end it with a white wine sangria or a thirst-quenching draft beer all while watching the boats go by.",M71-70-SB,"(212) 362-4450",http://www.piericafe.com/,"Snack Bar","New York",FALSE
73,"Windmuller Park Food Cart","52nd Street and 39th Road",None,Q31-C,None,None,"Food Cart","New York",FALSE
74,"Rockaway Beach Snack Bars","Beach 86th Street, Beach 97th Street, and Beach 106th Street","Rockaway Beach Snack Bars are located on the Rockaway Beach Boardwalk in Queens. Menu items vary by location. The 106th Street Caracas snack bar offers arepas, which are corn flour- pita like rounds filled with a variety of ingredients. The 97th Street location has 8 different counters offering items from burgers, to beachy Korean fair, Italian ices, and lobster rolls. There is also a beach shop at this location where you can purchase clothing, sun tan lotion, and other beach related items. Finally the Beach 86th Street location or the "Rippers" offer breakfast burritos, tortas, burgers, and cold drinks for the hot summer days.",Q163-SB,None,http://www.caracasarepabar.com/rockaway.php,"Snack Bar","New York",FALSE
75,Pushcart,"Near northern intersection of Avenues of Progress & Commerce",None,Q99-6-AC,None,None,"Food Cart","New York",FALSE
76,"Astoria Pool Snack Bar","Astoria Pool",None,Q4-SB,None,https://surfshackny.wix.com/surfshack,"Snack Bar","New York",FALSE
77,"Tweety's Mobile Food Truck","E 172 St. Bw Morris and Teller Aves.",None,X8-3MT,None,None,"Food Cart","New York",FALSE
78,"Ederle Terrace Snack Bar","Ederle Terrace, 61-30 Van Wyck Expressway, overlooking Meadow Lake",None,Q99(2)-SB,None,None,"Snack Bar","New York",FALSE
79,"PS 100 Playground Trucks","Theriot, Taylor and Story Aves.",None,X204-MT,None,None,"Food Cart","New York",FALSE
80,"Central Park Food Cart","West Side of WD at W 62nd",None,M10-62-WD-C,None,None,"Food Cart","New York",FALSE
81,"Bayview Playground Mobile Trucks","Bayview Playground",None,B274-MT,None,None,"Mobile Food Truck","New York",FALSE
82,"Hugh Grant Circle Food Cart","East 177th Street, Wstchester Avenue, Virginia Avenue",None,X25-C,None,None,"Food Cart","New York",FALSE
83,"Fort Greene Park Mobile Food Truck","Fort Green Park",None,B32-MT,None,None,"Mobile Food Truck","New York",FALSE
84,"Olmsted Cafeteria","Olmsted Center",None,Q99-J-SB,None,None,"Snack Bar","New York",FALSE
85,"NY Dosas","North side of Washington Square at Sullivan Street","The NY Dosas specialty cart, owned and operated by Thiru Kandasamy, known locally as "the Dosa Guy," serves up traditional Indian vegan fare near the corner of Sullivan Street and Washington Square South in Washington Square Park.  NY Dosas' menu includes such specialties as uthappam, samosas dosas, and vegan drumsticks.  Mr. Kandasamy's cart has been a critic's pick in the New York Magazine Restaurant Guide, and in 2007, he was the recipient of the coveted Vendy Award.",M98-EC-CG,"(917) 710-2092",None,"Specialty Cart","New York",FALSE
86,"Plumb Beach Mobile Food Truck","Plumb Beach Parking Lot",None,B57-B-MT,None,None,"Mobile Food Truck","New York",FALSE
87,"Rodman's Neck Snack Bar","The NYC Police Academy, Rodman","Rodman's Neck Snack Bar is a friendly snack bar located in the NYC Police Academy firing range at the training facility in Pelham Bay Park, Bronx.",X039-VM-SB,None,None,"Snack Bar","New York",FALSE
88,"Bensonhurst Park Mobile Food Truck","End of Bay Parkway, near shopping center",None,B7-MT,None,None,"Mobile Food Truck","New York",FALSE
89,"Orchard Beach Snack Bar","3 Locations along the beach","A friendly snack bar located in the Orchard Beach Park. Menu items include Hamburgers, hot dogs, chicken sandwiches, fried chicken, shish kabobs, fries, onion rings, nachos, wings, slushes, soda.",X39-C-BW-SB,"(718) 518-1800",None,"Snack Bar","New York",FALSE
90,"Asser Levy Park Mobile Food Truck","Asser Levy Park",None,B80-MT,None,None,"Mobile Food Truck","New York",FALSE
91,"Wafels & Dinges","West of the Scholar's Gate entrance at 60th Street","Wafels & Dinges is renowned for their authentic, light and crisp Belgian liege waffles, which include ingredients brought directly from Belgium.  In 2009, they were awarded the coveted Vendy Award for Best Mobile Dessert Vendor and emerged victorious from an episode of Throwdown with Bobby Flay.",M10-9-CG,1-866-429-7329,http://www.wafelsanddinges.com/,"Specialty Cart","New York",FALSE
92,"Dunkin' Donuts","1320 Hutchinson River Parkway","Dunkin' Donuts provides customers with high quality coffee, bagels, donuts and other baked goods.",X101-O-R,"(718) 863-8692",None,"Snack Bar","New York",FALSE
93,"Shore Road Park Mobile Food Trucks","Bay 8th Street",None,B82-4-MT,None,None,"Mobile Food Truck","New York",FALSE
94,Wendy's,"19 West 170th Street","Wendy's in Keltch Memorial Park is located on 170th Street and Jerome Avenue. 
Wendy's menu consists primarily of hamburgers, chicken sandwiches, French fries and beverages, including the Frosty. Wendy's is known for its square ground beef hamburgers and the Frosty, a very thick milkshake. Wendy's offers breakfast, lunch, and dinner. 
",X58-R,"(718) 681-0483",None,"Snack Bar","New York",FALSE
95,"Jackie Robinson Park Mobile Food Truck","Jackie Robinson Park",None,M14-MT,None,None,"Mobile Food Truck","New York",FALSE
96,"NANDITA, INC.","WEST SIDE OF EAST DRIVE AND 63RD ST.",None,M10-63-ED-CG,None,None,"Specialty Cart","New York",FALSE
97,"PS 199 Playground Mobile Food Truck","PS 199 Playground",None,M233-MT,None,None,"Mobile Food Truck","New York",FALSE
98,"Harlem Meer Snack Bar","Harlem Meer","For over 20 years, Maoz have been continuously working to offer the best tasting nutritious meals and falafel to their customers. With more than 15 signature salads and sauces made with the finest ingredients from local farmers and purveyors, we are always on the lookout for the best quality ingredients available.",M10-64-SB,None,http://www.maozusa.com/restaurants/locations/nyc,"Snack Bar","New York",FALSE
99,"Fort Tryon Park Mobile Food Truck","Margaret Corbin Circle",None,M29-2-C,None,None,"Mobile Food Truck","New York",FALSE
100,"CAF&Eacute; PRODUCTS CORP.","COLUMBUS CIR. BEHIND THE USS MAINE MONUMENT",None,M10-W59-CG,None,None,"Specialty Cart","New York",FALSE
101,"First Park Outdoor Cafe","Between East Houston Street and East First Street",None,M124-SB,"( 212) 529-8766",http://www.onmud.com/pages/mudpark,"Snack Bar","New York",FALSE
102,"Prospect Park Mount Food Cart","Grand Army Plaza",None,B159-C,None,None,"Food Cart","New York",FALSE
103,"Alexander Hamilton Plygrd Mobile Food Truck","Alexander Hamilton Plygrd",None,M41-W140-MT,None,None,"Mobile Food Truck","New York",FALSE
104,"Peter Minuit Snack Bar",Pavilion,None,M5-PM-SB,None,None,"Snack Bar","New York",FALSE
105,"Williamsbridge Oval Park","South corner of track",None,X104-2-C,None,None,"Food Cart","New York",FALSE
106,"Cross Island Mobile Food Truck","Cross Island Parkway and Clearview Parkway",None,Q135-MT,None,None,"Mobile Food Truck","New York",FALSE
107,"ALEX LINDOWER PARK TRUCKS","East 60th and Strickland",None,B329-MT,None,None,"Food Cart","New York",FALSE
108,"Battery Park Snack Bar","Battery Park",None,M5-SB,None,None,"Snack Bar","New York",FALSE
109,"Forest Park Mobile Food Truck","79 Street and Park Lane South",None,Q15-1-MT,None,None,"Mobile Food Truck","New York",FALSE
110,"THE NEW YORK PICNIC COMPANY, INC.","Hecksher Playground",None,M10-W60-HP-C,None,None,"Food Cart","New York",FALSE
111,"Rufus Playground Mobile Food Trucks","Rufus King Playground",None,Q23-MT,None,None,"Mobile Food Truck","New York",FALSE
112,"NANDITA, INC.","MALL AREA. S.W. OF BANDSHELL",None,M10-72-1B-C,None,None,"Food Cart","New York",FALSE
113,"PS 173 Playground Mobile Food Truck","Fresh Meadows Playground",None,Q314-MT,None,None,"Mobile Food Truck","New York",FALSE
114,"THE NY PICNIC COMPANY","NORTH OF 72 ST. TRANVERSE, PATH LEADING TO CHERRY HILL",None,M10-72-6C,None,None,"Food Cart","New York",FALSE
115,"Maurice A Fitzgerald Playground Mobile Food Truck","Maurice A Fitzgerald Playground",None,Q337-MT,None,None,"Mobile Food Truck","New York",FALSE
116,"JANANI FOOD SERVICES, INC.","EAST 72ND ST. PATH LEADING TO CONSERVATORY WATERS",None,M10-72-CW-C,None,None,"Food Cart","New York",FALSE
117,"Gunn Park Mobile Food Truck","William T. Gunn Playground",None,Q358-MT,None,None,"Mobile Food Truck","New York",FALSE
118,"UNLIMITED NUTS, INC.","BOW BRIDGE, N.  PATH LEADING TO CHERRY HILL",None,M10-73-BB-C,None,None,"Food Cart","New York",FALSE
119,"Rafferty Square Mobile Food Truck","44th Drive and Hunter Street",None,Q36-A-MT,None,None,"Mobile Food Truck","New York",FALSE
120,"Cafe Products Corp","Columbus Avenue and W. Street",None,M51-CG,None,None,"Specialty Cart","New York",FALSE
121,"Hart Playground Mobile Food Truck","General Hart Playground",None,Q419-MT,None,None,"Mobile Food Truck","New York",FALSE
122,"Yellowstone Muni Playground Mobile Food Truck","Yellowstone Park",None,Q425-MT,None,None,"Mobile Food Truck","New York",FALSE
123,"Central Park Specialty Cart","East Drive and 63 Street",None,M010-63-ED-CG,None,None,"Specialty Cart","New York",FALSE
124,"Lt Corp Noonan Mobile Food Truck","Lt Corp. Noonan Playground",None,Q44-MT,None,None,"Mobile Food Truck","New York",FALSE
125,"Elmhurst Park Mobile Food Truck","Elmhurst Park",None,Q492-MT,None,None,"Mobile Food Truck","New York",FALSE
126,"PQR Pizza Food Cart","64th Street and 5th Avenue",None,M10E-64-CG,None,None,"Specialty Cart","New York",FALSE
127,"Memorial Field Mobile Food Truck","Flushing Fields",None,Q86-MT,None,None,"Mobile Food Truck","New York",FALSE
128,"Flushing Meadows Mobile Food Truck","Herbert Hoover Promenade and Avenue of Commerce",None,Q99-MT,None,None,"Mobile Food Truck","New York",FALSE
129,"Bloomingdale Park Mobile Food Truck","Bloomingdale Park",None,R106-2-MT,None,None,"Mobile Food Truck","New York",FALSE
130,"Owl Hollow Park Mobile Food Truck","Owls Hollow Soccer Fields",None,R17-MT,None,None,"Mobile Food Truck","New York",FALSE
131,"Central Park Specialty Food Cart","72nd Street and 5th Avenue",None,M10-E72-CG,None,None,"Specialty Cart","New York",FALSE
132,"UNLIMITED NUTS, INC.","EAST DRIVE AND EAST 79TH , PATH TO GREAT LAWN",None,M10-79-ED-C,None,None,"Food Cart","New York",FALSE
133,"Midland Beach Mobile Food Truck","Parking Lot 2",None,R46-2-MT,None,None,"Mobile Food Truck","New York",FALSE
134,"Hanover Square Specialty Carts","Hanover Square",None,M212-CG,None,None,"Specialty Cart","New York",FALSE
135,"MUN TRADING COMPANY","NEAR THE ZOO ENTRANCE",None,M10-E62-C,None,None,"Food Cart","New York",FALSE
136,"Midland Beach Mobile Food Truck","Parking Lot 9",None,R46-3-MT,None,None,"Mobile Food Truck","New York",FALSE
137,"Midland Beach Mobile Food Truck","Fishing Pier at Parking Lot 6",None,R46-MT,None,None,"Mobile Food Truck","New York",FALSE
138,"SALIM AHAMED","NORTH OF UNDERPASS NEAR TISCH CHILDREN'S ZOO",None,M10-E65-C,None,None,"Food Cart","New York",FALSE
139,"Rice the Great Specialty Food Cart","Thomas Paine Park",None,M30-1-CG,None,None,"Specialty Cart","New York",FALSE
